Type of Score,Composer Count,Number of Scores Added,First Name,Last Name,Full Name,Gender-Identity,Race,BIPOC,Nationality,Century of Birth,Century,Additional Identities,Birth,Death,Living,DBpedia,Composition Title(s)
Individual Composer,1,1,Jonathan,Dove,"Dove, Jonathan ",Man,White,N,British,20,20-21,,1959,,Y,https://dbpedia.org/page/Jonathan_Dove,Catching fire: for piano solo 
Individual Composer,1,2,Yun,Du,"Du, Yun ",Woman,Asian,Y,Chinese,20,20-21,,1977,,Y,,(1) Tattooed in Snow: for string quartet (2014); (2) Vicissitudes no. 1: (2002)
Individual Composer,1,1,Henri,Dutilleux,"Dutilleux, Henri ",Man,White,N,French,20,20-21,,1916,2013,N,https://dbpedia.org/page/Henri_Dutilleux,"Timbres espace, mouvement: ou ""la nuit étoilée"" "
Individual Composer,1,1,Julius,Eastman,"Eastman, Julius ",Man,Black,Y,American,20,20,,1940,1990,N,https://dbpedia.org/page/Julius_Eastman,Piano 2: for solo piano (1986) 
Individual Composer,1,2,S. C. (Sophie-Carmen),Eckhardt-Gramatté,"Eckhardt-Gramatté, S. C. (Sophie-Carmen) ",Woman,White,N,Russian,19,19-20,,1899,1974,N,,"(1) Suite III (suite de mallorca), e. 50: for solo violin; (2) Woodwind trio II, e. 153: for flute, clarinet in b flat and bassoon"
Individual Composer,1,1,Hannah,Eisendle,"Eisendle, Hannah ",Woman,White,N,Austrian,20,20-21,,1993,,Y,,Schwindel haft: für 4 hörner 
Individual Composer,1,4,Reena,Esmail,"Esmail, Reena ",Woman,Asian,Y,Indian-American,20,20-21,,1983,,Y,https://dbpedia.org/page/Reena_Esmail,"(1) Saans (breath): for violin, cello and piano (2017); (2) This love between us, movement V (Hinduism): for mezzo soprano, violin and piano (2020); (3) Rang de basant: for piano (2012); (4) When the violin: for unaccompanied violin"
Individual Composer,1,1,Agustín,Fernández,"Fernández, Agustín ",Man,Latinx,Y,Bolivian,20,20-21,,1958,,Y,,La canción artística Boliviana: Alquimia: ciclo de canciones
Individual Composer,1,1,Graciane,Finzi,"Finzi, Graciane ",Woman,White,N,Moroccan-French,20,20-21,,1945,,Y,https://dbpedia.org/page/Graciane_Finzi,Fantaisie toccata: pour piano quatre mains 
Individual Composer,1,1,Lukas,Foss,"Foss, Lukas ",Man,White,N,German-American,20,20-21,,1922,2009,N,https://dbpedia.org/page/Lukas_Foss,Brass quintet: then the rocks on the mountain began to shout. Charles Ives 
Individual Composer,1,2,Jürg,Frey,"Frey, Jürg",Man,White,N,Swiss,20,20-21,,1953,,Y,https://dbpedia.org/page/J%C3%BCrg_Frey,"(1) Klavierstuck; (2) Klavierstück Arrangement I, II, III: Klavier; (3) Sam Lazaro bros."
Individual Composer,1,2,Dai,Fujikura,"Fujikura, Dai",Man,Asian,Y,Japanese,20,20-21,,1977,,Y,https://dbpedia.org/page/Dai_Fujikura,Deconstructing Franz: For String Quartet
Individual Composer,1,3,Vivian,Fung,"Fung, Vivian ",Woman,Asian,Y,Canadian,20,20-21,,1975,,Y,https://dbpedia.org/page/Vivian_Fung,(1) Birdsong: For Violin and Piano; (2) Humanoid: (2017) for solo violoncello and electronics; (3) Clarinet quintet: frenetic memories: for clarinet in B♭ and string quartet
Individual Composer,1,1,Demian,Galindo,"Galindo, Demian ",Man,Latinx,Y,Mexican,20,20-21,,1980,,Y,,La piñata: for cello and piano 
Individual Composer,1,1,Orlando Jacinto,Garcia,"Garcia, Orlando Jacinto",Man,Latinx,Y,Cuban-American,20,20-21,,1954,,Y,https://dbpedia.org/page/Orlando_Jacinto_Garcia,(1) Auschwitz (They Will Never Be Forgotten); Varadero Memories; in Memoriam Earle Browne (2) I Never Saw Another Butterfly: For String Quartet
Individual Composer,1,2,Stacy,Garrop,"Garrop, Stacy ",Woman,White,N,American,20,20-21,,1969,,Y,,(1) Blurrr: for orchestra (2003); (2) The solitude of stars: for piano
Individual Composer,1,1,Philip,Glass,"Glass, Philip ",Man,White,N,American,20,20-21,,1937,,Y,https://dbpedia.org/page/Philip_Glass,Passacaglia for solo piano: (2017) 
Individual Composer,1,1,Gourzi,Konstantia,"Gourzi, Konstantia",Woman,White,N,Greek,20,20-21,,1962,,Y,https://dbpedia.org/page/Konstantia_Gourzi,"Mykene, op. 17: 7 miniatures for orchestra (2002) "
Individual Composer,1,1,Nicolás,Gutiérrez,"Gutiérrez, Nicolás ",Man,Latinx,Y,Colombian,20,20-21,,1993,,Y,,The Catalan art song = La canción artística en catalán: Signat l'amic del cor 
Individual Composer,1,1,Daron,Hagen,"Hagen, Daron ",Man,White,N,American,20,20-21,,1961,,Y,https://dbpedia.org/page/Daron_Hagen,Little Nemo in Slumberland: a magic opera in two acts 
Individual Composer,1,3,Adolphus C.,Hailstork,"Hailstork, Adolphus C. ",Man,Black,Y,American,20,20-21,,1941,,Y,https://dbpedia.org/page/Adolphus_Hailstork,"(1) Symphony no. 2 (1998); (2) Yuhwa (the goddess of the willow trees): for solo flute (2019); (3) Deux chansons: for soprano, clarinet and piano"
Individual Composer,1,1,John,Harbison,"Harbison, John ",Man,White,N,American,20,20-21,,1938,,Y,https://dbpedia.org/page/John_Harbison,Suite for solo violin: on soggetti cavati 
Individual Composer,1,1,Lou,Harrison,"Harrison, Lou ",Man,White,N,American,20,20-21,,1917,2003,N,https://dbpedia.org/page/Lou_Harrison,"Air in g minor: for flute alone, or with drone "
Individual Composer,1,2,Jennifer,Higdon,"Higdon, Jennifer ",Woman,White,N,American,20,20-21,,1962,,Y,https://dbpedia.org/page/Jennifer_Higdon,"(1) Grace: from the string quartet ""Voices"": 1993; (2) Harp concerto"
Individual Composer,1,1,Dorothy,Hindman,"Hindman, Dorothy ",Woman,White,N,American,20,20-21,,1966,,Y,https://dbpedia.org/page/Dorothy_Hindman,Contents under pressure: for reed quintet (2019) 
Individual Composer,1,1,Holt,Nora,"Holt, Nora",Woman,Black,Y,American,19,19-20,,1885,1974,N,https://dbpedia.org/page/Nora_Holt,"Nora's dance, op. 25 no. 1: for piano "
Individual Composer,1,1,Charles E.,Ives,"Ives, Charles E.",Man,White,N,American,19,19-20,,1874,1954,N,https://dbpedia.org/page/Charles_Ives,Piano Studies: Shorter Works for Piano:
Individual Composer,1,1,Jolas,Betsy,"Jolas, Betsy",Woman,White,N,Franco-American,20,20-21,,1926,,Y,https://dbpedia.org/page/Betsy_Jolas,Trumpet thoughts for Cheltenham: for solo C trumpet (2019) 
Individual Composer,1,1,Ulysses,Kay,"Kay, Ulysses ",Man,Black,Y,American,20,20,,1917,1995,N,https://dbpedia.org/page/Ulysses_Kay,Pietá: for English horn and string orchestra 
Individual Composer,1,1,Aaron Jay,Kernis,"Kernis, Aaron Jay",Man,White,N,American,20,20-21,,1960,,Y,https://dbpedia.org/page/Aaron_Jay_Kernis,Elegy (to those we lost): for piano solo (2020) 
Individual Composer,1,1,Annette,Kruisbrink,"Kruisbrink, Annette ",Woman,White,N,Dutch,20,20-21,,1958,,Y,https://dbpedia.org/page/Annette_Kruisbrink,MMXX: for solo guitar 
Individual Composer,1,1,Lori,Laitman,"Laitman, Lori ",Woman,White,N,American,20,20-21,,1955,,Y,https://dbpedia.org/page/Lori_Laitman,The Imaginary photo album: four songs for soprano and piano 
Individual Composer,1,14,David A.,Lang,"Lang, David A. ",Man,White,N,American,20,20-21,,1957,,Y,https://dbpedia.org/page/David_Lang_(composer),"(1) Prayers for night and sleep: for soprano, solo cello, string orchestra and percussion or soprano, solo cello, string quintet and percussion; (2) Anatomy theatre; (3) Battle hymns: for small or large chorus plus one military drum; (4) Love fail: for four singers; (5) Gift: viola and guitar; (6) Man made: solo percussion quartet and orchestra, 2013; (7) Mountain: for orchestra; (8) Super chill; (9) Darker: for 12 solo strings; (10) Symphony without a hero; (11) Harmony and understanding: for orchestra; (12) How to pray: for orchestra: 2002; (13 Ark luggage: for soprano and string quartet (2012); (14) Prisoner of the state: opera (2019)"
Individual Composer,1,1,Lara,Ana,"Lara, Ana",Woman,Latinx,Y,Mexican,20,20-21,,1959,,Y,https://dbpedia.org/page/Ana_Lara,Koaiá: for cello (1995-1996) 
Individual Composer,1,1,Larsen,Libby,"Larsen, Libby",Woman,White,N,American,20,20-21,,1950,,Y,https://dbpedia.org/page/Libby_Larsen,"This unbearable stillness - songs from the balcony: for soprano, percussion, celeste and string orchestra "
Individual Composer,1,1,Anne,LeBaron,"LeBaron, Anne ",Woman,White,N,American,20,20-21,,1953,,Y,https://dbpedia.org/page/Anne_LeBaron,After a dammit to hell: for bassoon (1982) 
