Type of Score,Composer Count,Number of Scores Added,First Name,Last Name,Full Name,Gender-Identity,Race,BIPOC,Nationality,Century of Birth,Century,Additional Identities,Birth,Death,Living,DBpedia,Composition Title(s)
Individual Composer,1,1,Hale,Smith,"Smith, Hale ",Man,Black,Y,American,20,20-21,,1925,2009,N,https://dbpedia.org/page/Hale_Smith,Music for harp and orchestra 
Individual Composer,1,1,Linda Catlin,Smith,"Smith, Linda Catlin ",Woman,White,N,Canadian,20,20-21,,1957,,Y,https://dbpedia.org/page/Linda_Catlin_Smith,Orient point: for string orchestra (2016) 
Individual Composer,1,1,Ethel,Smyth,"Smyth, Ethel ",Woman,White,N,British,19,19-20,,1858,1944,N,https://dbpedia.org/page/Ethel_Smyth,"The prison: symphony for soprano and bass-baritone soli, chorus (S.C.T.B.) and orchestra "
Individual Composer,1,1,Bent,Sørensen,"Sørensen, Bent ",Man,White,N,Danish,20,20-21,,1958,,Y,https://dbpedia.org/page/Bent_S%C3%B8rensen_(composer),Second symphony: (2016-2019) 
Individual Composer,1,1,William Grant,Still,"Still, William Grant ",Man,Black,Y,American,20,20-21,,1895,1978,N,https://dbpedia.org/page/William_Grant_Still,Serenade: for orchestra 
Individual Composer,1,1,Gottfried Heinrich,Stölzel,"Stölzel, Gottfried Heinrich ",Man,White,N,German,17,17-18,,1690,1749,N,https://dbpedia.org/page/Gottfried_Heinrich_St%C3%B6lzel,Die leidende und am Creutz sterbende Liebe Jesu
Individual Composer,1,1,Dun,Tan,"Tan, Dun",Man,Asian,Y,Chinese,20,20-21,,1957,,Y,https://dbpedia.org/page/Tan_Dun,Prayer and blessing: for string quartet and soprano (or: for any instrument and voice) (2020) 
Individual Composer,1,1,Karen,Tanaka,"Tanaka, Karen ",Woman,Asian,Y,Japanese,20,20-21,,1961,,Y,https://dbpedia.org/page/Karen_Tanaka,"Wind whisperer: for flute, viola and harp "
Individual Composer,1,1,Evangelina,Telfar,"Telfar, Evangelina ",Woman,White,N,New Zealander,20,20-21,,u,,Y,,Eclipse: for soprano dizi and zheng 
Individual Composer,1,5,Richard O.,Thompson,"Thompson, Richard O.",Man,Black,Y,Scottish-American,20,20-21,,1950,,Y,,(1) The shadow of dawn: five poems of Paul Laurence Dunbar: for high voice and piano: 2000; (2) Songs of passion: for soprano and piano (2014); (3) Lemuria fantasy: for piano (1996); (4) Six preludes: for solo piano (2004); (5) The Mask in the mirror: the courtship and marriage of Paul Laurence Dunbar and Alice Ruth Moore (2012)
Individual Composer,1,3,Frederick,Tillis,"Tillis, Frederick ",Man,Black,Y,American,20,20-21,,1930,2020,N,https://dbpedia.org/page/Frederick_C._Tillis,"(1) Passacaglia: For Brass Quintet (2) Song for Sister Hokkaido: For Brass Quintet and Latin Percussion; (3) For the victims and survivors of September 11: for jazz orchestra and narrator; (4) Ring shout concerto (1973-74); (5) Pastorale: for wind ensemble (1974); (6) In the spirit and the flesh; (7) Concerto for piano (jazz trio) and symphony orchestra: 1979, Rev. 1982"
Individual Composer,1,1,Michael,Torke,"Torke, Michael ",Man,White,N,American,20,20-21,,1961,,Y,https://dbpedia.org/page/Michael_Torke,Being 
Individual Composer,1,1,Alba Fernanda,Triana,"Triana, Alba Fernanda ",Woman,Latinx,Y,Colombian,20,20-21,,u,,Y,,Antiphony: for solo cello 
Individual Composer,1,2,Irma,Urteaga,"Urteaga, Irma ",Woman,Latinx,Y,Argentinian,20,20-21,,1929,,Y,https://dbpedia.org/page/Irma_Urteaga,"(1) Elegía a los silencios: para voz, violoncelo y piano (2012); (2) La canción artística argentina:  obras completas para voz y piano = The Argentinian art song: complete works for voice and piano"
Individual Composer,1,1,Jacinto,Valledor,"Valledor, Jacinto ",Man,Latinx,Y,Spanish,18,18-19,,1744,ca.1809 ,N,https://dbpedia.org/page/Jacinto_Valledor,Tonadillas
Individual Composer,1,4,Adriana,Verdié,"Verdié, Adriana ",Woman,Latinx,Y,Argentinian,20,20-21,,1958,,Y,,(1) O.C.T.E.T.: for brass ensemble; (2) Triptych: for brass quartet; (3) ...de mujeres y elementos...: for mezzo soprano and piano; (4) Tiempo de mariposas
Individual Composer,1,3,George,Walker,"Walker, George ",Man,Black,Y,American,20,20-21,,1922,2018,N,https://dbpedia.org/page/George_Walker_(composer),(1) Dialogus: for cello & orchestra (19761996); (2) Abu: for narrators and chamber ensemble; (3) An Eastman overture: for orchestra (1983)
Individual Composer,1,1,Gwyneth,Walker,"Walker, Gwyneth ",Woman,White,N,American,20,20-21,,1947,,Y,https://dbpedia.org/page/Gwyneth_Walker,Love shall live forever: for high voice and piano 
Individual Composer,1,1,Errollyn,Wallen,"Wallen, Errollyn",Woman,Black,Y,British,20,20-21,Belizean,1958,,Y,https://dbpedia.org/page/Errollyn_Wallen,Daedalus: For Mezzo-Soprano and String Quartet
Individual Composer,1,1,Katharina,Weber,"Weber, Katharina ",Woman,White,N,Swiss,20,20-21,,1958,,Y,,"Klaviertrio II: zehn neue szenen für violine, cello und klavier (2018-19) "
Individual Composer,1,2,Richard,Wernick,"Wernick, Richard ",Man,White,N,American,20,20-21,,1934,,Y,https://dbpedia.org/page/Richard_Wernick,"(1) Viola concerto (do not go gentle) (1986); (2) ""And on the seventh day ..."": a service for Sabbath Eve: for cantor and percussion (three players and a timpanist)"
Individual Composer,1,1,Beth,Wiemann,"Wiemann, Beth ",Woman,White,N,American,20,20-21,,1959,,Y,,Hammer on: for bass trombone and piano (2019) 
Individual Composer,1,1,Marcus,Wilcher,"Wilcher, Marcus",Man,Black,Y,American,20,20-21,,1985,,Y,,Shades: for bass trombone and piano (2009) 
Individual Composer,1,1,Evan,Williams,"Williams, Evan ",Man,Black,Y,American,20,20-21,,1988,,Y,,Black Waters: for saxophone quartet 
Individual Composer,1,9,Grace,Williams,"Williams, Grace ",Woman,White,N,Welsh,20,20,,1906,1977,N,https://dbpedia.org/page/Grace_Williams,(1) Symphony No. 2; (2) Symphony No. 1: Centenary edition; (3) Sonata for violin; (4) Ballads; (5) Castell Caernarfon; (6) Violin concerto; (7) Four mediaeval Welsh poems; (8) Suite for string orchestra; (9) Elegy for strings
Individual Composer,1,7,Julia,Wolfe,"Wolfe, Julia ",Woman,White,N,American,20,20-21,,1958,,Y,https://dbpedia.org/page/Julia_Wolfe,(1) Stronghold: for eight double basses; (2) Anthracite fields; (3) With a blue dress on: 5 violin version (full score); (4) With a blue dress on:  5 violin version (parts); (5) East Broadway: for piano; (6) Wind in my hair: (cello concerto); (7) The Vermeer room 
Individual Composer,1,1,Charles,Wuorinen,"Wuorinen, Charles ",Man,White,N,American,20,20-21,,1938,,Y,https://dbpedia.org/page/Charles_Wuorinen,Megalith: for piano and 15 players 
Individual Composer,1,1,Victoria,Yagling,"Yagling, Victoria ",Woman,White,N,Russian,20,20-21,,1946,2011,N,,Cello concerto no. 2 (1983-84) 
Individual Composer,1,1,Katherine,Young,"Young, Katherine ",Woman,White,N,American,20,20-21,,1980,,Y,,"Camilles: for saxophone, electric guitar, piano, percussion, feedback and no-input mixers (2019) "
Individual Composer,1,3,Evan,Ziporyn,"Ziporyn, Evan ",Man,White,N,American,20,20-21,,1959,,Y,https://dbpedia.org/page/Evan_Ziporyn,(1) Kekembangan: for Balinese gamelan gon kebyar and saxophone quartet; (2) Impulse control: concerto for drum set and wind ensemble; (3) Gymnopédies XYZ
Collected Works/Series,1,1,Gregor,Aichinger,"Aichinger, Gregor ",Man,White,N,German,16,16-17,,1564,1628,N,https://dbpedia.org/page/Gregor_Aichinger,Lacrumae divae virginis et Joannis in Christum a cruce depositum: (1604)
Collected Works/Series,1,9,Carl Philipp Emanuel,Bach,"Bach, Carl Philipp Emanuel ",Man,White,N,German,18,18,,1714,1788,N,https://dbpedia.org/page/Carl_Philipp_Emanuel_Bach,"The complete works (ser.1 v.6.2, ser.3 v.9.10, ser..3 v.10, ser.3 v.9.12,  v.4 facsim. suppl., ser.4 v.2, ser.4 v.4.4, ser.4 v.5.4, ser.4 v.6.4, ser.6 facsim. suppl.)"
Collected Works/Series,1,1,Béla,Bartók,"Bartók, Béla ",Man,White,N,Hungarian,19,19-20,,1881,1945,N,https://dbpedia.org/page/B%C3%A9la_Bart%C3%B3k,Complete critical edition = Zeneműveinek kritikai összkiadása = Kritische Gesamtausgabe (Bd. 40-41)
Collected Works/Series,1,5,Ludwig van,Beethoven,"Beethoven, Ludwig van ",Man,White,N,German,18,18-19,,1770,1827,N,https://dbpedia.org/page/Ludwig_van_Beethoven,"(1) Chamber arrangements of Beethoven's symphonies (v. 78, op. 60, v. 79, op. 68); (2) Werke (Abt. 1: Bd. 5)"
Collected Works/Series,1,1,Georg,Benda,"Benda, Georg ",Man,White,N,Czech,18,18,,1722,1795,N,https://dbpedia.org/page/Georg_Benda,Philon und Theone
Collected Works/Series,1,1,Antonio Maria,Bononcini,"Bononcini, Antonio Maria ",Man,White,N,Italian,17,17-18,,1677,1726,N,https://dbpedia.org/page/Antonio_Maria_Bononcini,"Six chamber cantatas (1708): works for soprano or alto with two flutes, bassoon, and basso continuo from A-Wn, Mus.Hs.17587"
Collected Works/Series,1,2,Johannes,Brahms,"Brahms, Johannes ",Man,White,N,German,19,19,,1833,1897,N,https://dbpedia.org/page/Johannes_Brahms,"Neue Ausgabe sämtlicher Werke (Ser. 5: Bd. 5, Ser. 6: Bd. 1)"
Collected Works/Series,1,1,Petrus Hercules,Brehy,"Brehy, Petrus Hercules ",Man,White,N,Flemmish,17,17-18,,1673,1737,N,https://id.loc.gov/authorities/names/nr89002678.html,"Instrumental works: from the Library of the Royal Conservatories, Brussels"
Collected Works/Series,1,1,G. W.,Chadwick,"Chadwick, G. W. ",Man,White,N,American,19,19-20,,1854,1931,N,,The padrone
Collected Works/Series,1,1,Aaron,Copland,"Copland, Aaron ",Man,White,N,American,20,20,Jewish,1900,1990,N,https://dbpedia.org/page/Aaron_Copland+R166,Appalachian spring: original ballet version 
Collected Works/Series,1,1,Christoph Willibald,Gluck,"Gluck, Christoph Willibald ",Man,White,N,German,18,18,,1714,1878,N,https://dbpedia.org/page/Christoph_Willibald_Gluck,Sämtliche Werke
Collected Works/Series,1,4,George Frideric,Handel,"Handel, George Frideric ",Man,White,N,German,17,17-18,,1685,1759,N,https://dbpedia.org/page/George_Frideric_Handel,"Hallische Händel-Ausgabe: kritische Gesamtausgabe (Ser. 1: Bd. 4.1, Ser. 2: Bd. 14.1-14-2, Ser. 2: Bd. 37)"
Collected Works/Series,1,1,Joseph,Haydn,"Haydn, Joseph ",Man,White,N,Austrian,18,18-19,,1732,1809,N,https://dbpedia.org/page/Joseph_Haydn,Werke: Kritischer Bericht
Collected Works/Series,1,2,Andreas,Hofer,"Hofer, Andreas",Man,White,N,German,17,17,,ca.1628,1684,N,,"Ver sacrum seu flores musici (Salzburg, 1677) (Pt. 1, pt. 2)"
Collected Works/Series,1,1,Leoš,Janáček,"Janáček, Leoš ",Man,White,N,Czech,18,18-19,,1854,1928,N,https://dbpedia.org/page/Leo%C5%A1_Jan%C3%A1%C4%8Dek,Souborné kritické vydání děl Leoše Janáčka = Kritische Gesamtausgabe der Werke von Leoš Janáček = Complete critical edition of the works of Leoš Janáček.
Collected Works/Series,1,1,Johann Sigismund,Kusser,"Kusser, Johann Sigismund ",Man,White,N,German,17,17-18,,1660,1727,N,,Serenatas for Dublin
Collected Works/Series,1,1,Henry,Lawes,"Lawes, Henry ",Man,White,N,British,16,16-17,,1596,1662,N,https://dbpedia.org/page/Henry_Lawes,Sacred music
Collected Works/Series,1,2,Jean-Baptiste,Lully,"Lully, Jean-Baptiste ",Man,White,N,French,17,17,,1632,1687,N,https://dbpedia.org/page/Jean-Baptiste_Lully,"Œuvres complètes (Ser.1:v.3, Ser.1:v.3 vocal)"
Collected Works/Series,1,1,Gustav,Mahler,"Mahler, Gustav ",Man,White,N,Austrian,19,19-20,,1860,1911,N,https://dbpedia.org/page/Gustav_Mahler,"Symphonie nr. 3: für alt-solo, knabenchor, frauenchor und orchester"
Collected Works/Series,1,2,Felix,Mendelssohn-Bartholdy,"Mendelssohn-Bartholdy, Felix ",Man,White,N,German,19,19,Jewish,1809,1847,N,https://dbpedia.org/page/Felix_Mendelssohn,"Leipziger Ausgabe der Werke von Felix Mendelssohn Bartholdy (Ser.1:Bd.10, Ser.7:Bd.3)"
Collected Works/Series,1,1,Henry,Purcell,"Purcell, Henry ",Man,White,N,British,17,17,,1659,1695,N,https://dbpedia.org/page/Henry_Purcell,The works of Henry Purcell
Collected Works/Series,1,1,Jean-Philippe,Rameau,"Rameau, Jean-Philippe ",Man,White,N,French,17,17-18,,1683,1764,N,https://dbpedia.org/page/Jean-Philippe_Rameau,Opera omnia
Collected Works/Series,1,1,Arnold,Schoenberg,"Schoenberg, Arnold ",Man,White,N,Austrian-American,19,19-20,Jewish,1874,1951,N,https://dbpedia.org/page/Arnold_Schoenberg,Sämtliche Werke
Collected Works/Series,1,3,Franz,Schubert,"Schubert, Franz ",Man,White,N,Austrian,18,18-19,,1797,1828,N,https://dbpedia.org/page/Franz_Schubert,"Neue Ausgabe sämtlicher Werke (Ser.3:Bd.3:T.B, Ser.5:Bd.4)"
Collected Works/Series,1,1,Clara,Schumann,"Schumann, Clara ",Woman,White,N,German,19,19,,1819,1896,N,https://dbpedia.org/page/Clara_Schumann,Vier Gedichte von Rückert: Opus 12 und WoO 17
Collected Works/Series,1,4,Robert,Schumann,"Schumann, Robert ",Man,White,N,German,19,19,,1810,1856,N,https://dbpedia.org/page/Robert_Schumann,"Neue Ausgabe sämtlicher Werke (Ser.3:Gr.1:Bd.6.2, Ser.6:Bd.9.1, Ser.6:Bd.9.2)"
Collected Works/Series,1,1,Heinrich,Schütz,"Schütz, Heinrich ",Man,White,N,German,16,16-17,,1585,1672,N,https://dbpedia.org/page/Heinrich_Sch%C3%BCtz,Neue Ausgabe sämtlicher Werke
Collected Works/Series,1,2,Alice Mary,Smith,"Smith, Alice Mary ",Woman,White,N,British,19,19,,1839,1884,N,https://dbpedia.org/page/Alice_Mary_Smith,(1) Short orchestral works: Andante for clarinet and orchestra; Intermezzi from The masque of Pandora; (2) Ode to the passions
Collected Works/Series,1,3,Richard,Strauss,"Strauss, Richard ",Man,White,N,German,18,18-19,,1864,1949,N,https://dbpedia.org/page/Richard_Strauss,"Werke = Works (Ser.II Bd.4, Ser.III Bd.3, Ser.VI Bd.4)"
Collected Works/Series,1,1,Georg Philipp,Telemann,"Telemann, Georg Philipp ",Man,White,N,German,17,17-18,,1681,1767,N,https://dbpedia.org/page/Georg_Philipp_Telemann,Musikalische Werke
Collected Works/Series,1,1,Sebastián de,Vivanco,"Vivanco, Sebastián de ",Man,Latinx,Y,Spanish,16,16-17,,ca.1550,1622,N,https://dbpedia.org/page/Sebasti%C3%A1n_de_Vivanco,Liber magnificarum (1607)
Collected Works/Series,1,2,Richard,Wagner,"Wagner, Richard ",Man,White,N,German,19,19,,1813,1883,N,https://dbpedia.org/page/Richard_Wagner,Sämtliche Werke
Collected Works/Series,1,1,Carl Maria von,Weber,"Weber, Carl Maria von ",Man,White,N,German,18,18-19,,1786,1826,N,https://dbpedia.org/page/Carl_Maria_von_Weber,Sämtliche Werke = Complete works
Collected Works/Series,1,1,Giovanni,Stefani,"Stefani, Giovanni ",Man,White,N,Italian,16,16-17,,u,u,N,,Giovanni Stefani's song anthologies 
Collected Works/Series,1,1,Claude,Debussy,"Debussy, Claude ",Man,White,N,French,19,19-20,,1862,1918,N,https://dbpedia.org/page/Claude_Debussy,Œuvres complètes de Claude Debussy
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
