Type of Score,Barcode,Description,Item Policy,Material Type,MMS Id,ISBN,Resource Type,Title,Primo Link,Author,Publisher,Publication Place,Publication Date,Edition,Series,Subjects,Uniform Title,Language Code,Permanent Call Number,Location Name,Item Creation Fiscal Year
Individual Composer,39090018303590,,Score,Music Score,991018103639703851,,Notated music - Physical,With a blue dress on : 5 violin version /score,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103639703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, composer.",Ricordi; Red Poppy Music,[New York] : [Milan] :,[2020],Score in C,,String quintets (Violins (5))--Scores.; Chamber music.; Scores.,,eng,MSC9102,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303624,,Score,Music Score,991018103639603851,,Notated music - Physical,With a blue dress on : 5 violin version /parts,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103639603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, composer.",Ricordi; Red Poppy Music,[New York] : [Milan] :,[2020],,,String quintets (Violins (5))--Parts.; Chamber music.; Parts (Music),,eng,MSC9103,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303681,,Score,Music Score,991018103639803851,,Notated music - Physical,East Broadway : for piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103639803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, composer.",Ricordi; Red Poppy,New York :,[2020?],,,Electronic music.; Toy piano and electronic music.; Toy piano music.,,zxx,MSC9101,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018340576,,Score,Music Score,991018169839403851,,Notated music - Physical,Wind in my hair : (cello concerto) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169839403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, composer.",Ricordi; Red Poppy Music,[New York] : [Milan] :,[2020],Study score.,,Concertos (Cello)--Scores.; Concertos.; Scores.,Wind in my hair,zxx,MSC9207,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341871,,Score,Music Score,991018169839503851,,Notated music - Physical,The Vermeer room /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169839503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, composer.",Ricordi; Red Poppy Music,[New York] : [Milan] :,[2020],Full score.,,"Orchestral music--Scores.; Vermeer, Johannes,--1632-1675.; Instrumental ensembles--Scores.; Program music.; Chamber music.; Scores.; Songs and music.",Vermeer room,zxx,MSC9206,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202413,,Score,Music Score,991018115735303851,,Notated music - Physical,Megalith : for piano and 15 players /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115735303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wuorinen, Charles, composer.",Edition Peters,New York :,[2020],Full score.,Peters contemporary library,Piano with instrumental ensemble--Scores.; Piano with instrumental ensemble--Scores; Chamber music.; Scores.; Chamber music; Scores,,zxx,MSC9138,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341178,,Score,Music Score,991018139839203851,,Notated music - Physical,Cello concerto no. 2 (1983-84) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139839203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Yagling, Victoria, 1946-2011.",Fennica Gehrman,Helsinki :,2020.,,,,,eng,MSC9171,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377511,,Score,Music Score,991018207343403851,,Notated music - Physical,"Camilles : for saxophone, electric guitar, piano, percussion, feedback and no-input mixers (2019) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207343403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Young, Katherine, 1980-",Project Schott New York,New York :,"2014, [2021].",,,,,eng,MSC9274,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303566,,Score,Music Score,991018103639303851,,Notated music - Physical,Kekembangan : for Balinese gamelan gon kebyar and saxophone quartet /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103639303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Ziporyn, Evan, 1959-",Airplane Ears Music,"Lexington, MA :",2020.,,,,,zxx,MSC9106,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303343,,Score,Music Score,991018103639403851,,Notated music - Physical,Impulse control : concerto for drum set and wind ensemble /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103639403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Ziporyn, Evan, composer.",Airplane Ears Music,"[Lexington, Massachussetts] :",[2019],Transposed score.,,Concertos (Drum set with band)--Scores.; Concertos.; Scores.,Impulse control,zxx,M1205.Z56 I4 2019,Music Oversize,FY-2021
Individual Composer,39090018303400,,Score,Music Score,991018103639503851,,Notated music - Physical,Gymnopédies XYZ /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103639503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Ziporyn, Evan, composer.",Airplane Ears Music,"[Lexington, Massachusetts] :",[2020],Full score.,,Orchestral music--Scores.; Art music.; Arrangements (Music); Scores.,Gymnopédies XYZ,zxx,M1045.Z57 G9 2020,Music Oversize,FY-2021
Anthology/Collection,39090017202546,,Score,Music Score,9.91018E+17,,Notated music - Physical,"24 Italian songs & arias by women composers / Randi Marrazzo & Nicole Leone, editors.",,Hildegard Publishing Company,"[Worcester, Massachusetts] :",[2020],,,"Songs with piano.; Madrigals, Italian.; Songs, Italian.; Music by women composers.; Vocal scores.",,ita,MSC9107,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
Anthology/Collection,39090018338414,v.2,Score,Music Score,9.91018E+17,,Notated music - Physical,Latin American works : for piano.,,Cayambis Music Press,"[Blacksburg, Virginia] :",[2014],,,Piano music--Latin America.; Marches (Piano); Piano music.; Latin America.; Art music.; Berceuses.; Capriccios (Music); Marches (Music); Nocturnes (Music); Scores.,,zxx,MSC9228,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
Anthology/Collection,39090018338463,v.1,Score,Music Score,9.91018E+17,,Notated music - Physical,Latin American works : for piano.,,Cayambis Music Press,"[Blacksburg, Virginia] :",[2014],,,Piano music--Latin America.; Marches (Piano); Piano music.; Latin America.; Art music.; Berceuses.; Capriccios (Music); Marches (Music); Nocturnes (Music); Scores.,,zxx,MSC9228,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
Anthology/Collection,39090018338596,,Score,Music Score,9.91018E+17,1733903550; 9781733903554,Notated music - Physical,Latin American and Iberian art songs by women composers = Canciones artísticas de compositoras ibéricas y latinoamericanas.,,Mundo Arts Publications,Barcelona :,2020,First edition = Primera edición.,Latin American & Spanish vocal music collection ; v. 9.,Music by women composers--Latin America.; Music by women composers--Iberian Peninsula.; Music by women composers.; Songs (High voice) with piano.; Songs with piano.; Europe--Iberian Peninsula.; Latin America.; Chamber music.; Scores.; Song cycles.; Songs.,,spa,MSC9217,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
Anthology/Collection,39090018346086,,Score,Music Score,9.91018E+17,8870969886; 9788870969887,Notated music - Physical,"Manuscript Ivrea, Biblioteca capitolare 115 /",,Libreria Musicale Italiana,"Lucca, Italy :",[2019],,"Ars nova (Lucca, Italy) ; nuova ser., 5.","Music--Manuscripts--Facsimiles.; Motets--500-1400.; Masses, Unaccompanied--500-1400--Scores.; Part songs, French--500-1400.; Ivrea codex.; 500-1400; Music.; Part songs, French.; Scores.; Part songs.; Motets.; Masses.; Manuscripts.; Facsimiles.",Ivrea codex.,lat,ML96.4.I9 K8 2019,Music Stacks,Music Library,FY-2021
Anthology/Collection,39090018377990,v.1,Score,Music Score,9.91018E+17,,Notated music - Physical,Historical harp collection. Medieval and Renaissance songs and dances /,,Afghan Press,"Houston, Tex. :",©2004.,,,"Plucked instrument trios (Harps (3)), Arranged--Scores and parts.; Harp music, Arranged.",,zxx,MSC9341,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
Anthology/Collection,39090018378220,v.2,Score,Music Score,9.91018E+17,,Notated music - Physical,Historical harp collection. Medieval and Renaissance songs and dances /,,Afghan Press,"Houston, Tex. :",©2004.,,,"Plucked instrument trios (Harps (3)), Arranged--Scores and parts.; Harp music, Arranged.",,zxx,MSC9341,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
Anthology/Collection,39090018378287,v.3,Score,Music Score,9.91018E+17,,Notated music - Physical,Historical harp collection. Medieval and Renaissance songs and dances /,,Afghan Press,"Houston, Tex. :",©2004.,,,"Plucked instrument trios (Harps (3)), Arranged--Scores and parts.; Harp music, Arranged.",,zxx,MSC9341,Music Desk--Inquire @ Music Desk,Music Library,FY-2021
